Slug,Name,Town,Map
lake-wyola,Lake Wyola,Shutesbury,https://www.mass.gov/files/documents/2016/08/no/dfwwyola.pdf
laurel-lake,Laurel Lake,Erving,https://www.mass.gov/files/documents/2019/03/15/laurel_erving.pdf
laurel-lake,Laurel Lake,Lee,https://www.mass.gov/files/documents/2016/08/wi/dfwlaurl.pdf
lawrence-pond,Lawrence Pond,Sandwich,https://www.mass.gov/files/documents/2018/02/20/Lawrence.pdf
leadmine-pond,Leadmine Pond,Sturbridge,https://www.mass.gov/doc/leadmine-pond/download
leverett-pond,Leverett Pond,Leverett,https://www.mass.gov/files/documents/2016/08/tm/dfwlever.pdf
little-alum-pond,Little Alum Pond,Brimfield,https://www.mass.gov/files/documents/2019/01/29/littlealum.pdf
little-chauncy-pond,Little Chauncy Pond,Northborough,https://www.mass.gov/files/documents/2016/08/uw/dfwlitch.pdf
little-cliff-pond,Little Cliff Pond,Brewster,https://www.mass.gov/files/documents/2018/11/27/Little_Cliff_Pond_0.pdf
little-herring-pond,Little Herring Pond,Plymouth,https://www.mass.gov/files/documents/2016/08/wh/dfwlithe.pdf
little-long-pond,Little Long Pond,Plymouth,https://www.mass.gov/files/documents/2018/02/01/Little_Long_Pond_Plymouth.pdf
little-pond,Little Pond,Plymouth,https://www.mass.gov/files/documents/2016/08/wk/dfwlitpo.pdf
little-sandy-pond,Little Sandy Pond,Plymouth,https://www.mass.gov/files/documents/2016/08/tz/dfwlitsa.pdf
littleville-reserior,Littleville Reserior,Chester,https://www.mass.gov/files/documents/2018/02/05/littleville_res.pdf
long-pond,Long Pond,Plymouth,https://www.mass.gov/files/documents/2018/02/20/Long_Pond_Plymouth_0.pdf
long-pond,Long Pond,Rutland,https://www.mass.gov/files/documents/2016/08/xd/dfwlongr.pdf
long-pond,Long Pond,Dracut,https://www.mass.gov/files/documents/2016/08/tm/dfwlongd.pdf
long-pond,Long Pond,Brewster,https://www.mass.gov/files/documents/2016/08/qd/dfwlongb.pdf
long-pond,Long Pond,Lakeville,https://www.mass.gov/doc/long-pond-lakeville-freetown/download
long-pond,Long Pond,Wellfleet,https://www.mass.gov/files/documents/2016/08/np/dfwlongw.pdf
long-pond-yarmouth,Long Pond Yarmouth,Yarmouth,https://www.mass.gov/files/documents/2019/02/14/longyarmouth.pdf
long-pond-barnstable,Long Pond Barnstable,Barnstable,https://www.mass.gov/files/documents/2019/02/14/longbarnstable.pdf
long-pond-brewster,Long Pond Brewster,Brewster,https://www.mass.gov/files/documents/2016/08/qd/dfwlongy.pdf
long-pond-littleton,Long Pond Littleton,Littleton,https://www.mass.gov/files/documents/2016/08/xk/dfwlonlt.pdf
long-sought-for-pond,Long Sought For Pond,Westford,https://www.mass.gov/files/documents/2016/08/rr/dfwlongs.pdf
loon-pond,Loon Pond,Springfield,https://www.mass.gov/files/documents/2016/08/xo/dfwloons.pdf
loon-pond,Loon Pond,Lakeville,https://www.mass.gov/files/documents/2016/08/ty/dfwloonl.pdf
lout-pond,Lout Pond,Plymouth,https://www.mass.gov/files/documents/2016/08/qd/dfwloutp.pdf
lovells-pond,Lovells Pond,Barnstable,https://www.mass.gov/files/documents/2016/08/ri/dfwlovel.pdf
lower-spectacle-pond,Lower Spectacle Pond,Sandisfield,https://www.mass.gov/files/documents/2019/03/15/lowerspectacle.pdf
manchaug-pond,Manchaug Pond,Sutton,https://www.mass.gov/files/documents/2016/10/wh/dfwmanch.pdf
mansfield-pond,Mansfield Pond,Great Barrington,https://www.mass.gov/doc/lake-mansfield/download
maquan-pond,Maquan Pond,Hanson,https://www.mass.gov/files/documents/2016/08/no/dfwmaqua.pd
mares-pond,Mares Pond,Falmouth,https://www.mass.gov/files/documents/2016/08/no/dfwmares.pdf
marys-pond,Marys Pond,Rochester,https://www.mass.gov/files/documents/2018/03/06/marys_pond.pdf
mascuppic-lake,Mascuppic Lake,Tyngsborough,https://www.mass.gov/doc/mascuppic-lake/download
mashpee-/-wakeby-ponds,Mashpee / Wakeby Ponds,Mashpee,https://www.mass.gov/files/documents/2018/02/20/mashp_wakeby.pdf
massapoag-pond,Massapoag Pond,Sharon,https://www.mass.gov/files/documents/2018/02/01/Lake_Massapoag.pdf
mauserts-pond,Mauserts Pond,Clarksburg,https://www.mass.gov/files/documents/2016/08/tm/dfwmause.pdf
mcleod-pond,McLeod Pond,Colrain,https://www.mass.gov/files/documents/2016/08/oi/dfwmcleo.pdf
merino-pond,Merino Pond,Dudley,https://www.mass.gov/files/documents/2016/08/tm/dfwmerin.pdf
metacomet-lake,Metacomet Lake,Belchertown,https://www.mass.gov/files/documents/2019/02/20/metacometlake.pdf
micajah-pond,Micajah Pond,Plymouth,https://www.mass.gov/files/documents/2016/08/np/dfwmicaj.pdf
